Station,Station alias,	Date established,	Date closed,Declared reporting status,Assessed reporting status,Station type,WIGOS Station Identifier(s),WMO Region,Regional WIGOS Center,Country,Latitude,Longitude,Elevation,Geopositioning method,Time zone,Supervising organization,Station URL,Other link (URL),Site description,Climate zone,Predominant surface cover,Surface roughness,Topography or bathymetry,Population in 10km/50km,Programs/Network affiliation,	Last updated date,Last updated by,Latround,Longround
Borda Vidal,,	2008-08-01,,Operational,Silent,Land (fixed),0-20-1-99130009|primary,Europe,,Andorra,42.4397,1.4748,873,GPS,UTC+1,Servei Meteorològic Nacional,,,,Snow - Fully humid - Warm summer,Closed to open (>15%) mixed broadleaved and needleleaved forest (>5m)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within mountains of high altitude,,GOS General:Operational,	2021-02-24,Toni Molné,42.44,1.47
AMASIA,,	2001-01-01,,Operational,Operational,Land (fixed),0-20000-0-37682|primary,Europe,,Armenia,40.95027,43.78361,1876,GPS,UTC+4,Armenian State Hydrometeorological and Monitoring Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);RBCN;RBSN(S) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Snow - Fully humid - Warm summer,Rainfed croplands(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within hills of high altitude,,"CLIMAT(C) - to be deprecated:Closed, GBON:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2022-10-07,Gohar GEVORGYAN,40.95,43.78
AMBERD,,	1928-01-01,,Operational,Unknown,Land (fixed),0-20000-0-37782|primary,Europe,,Armenia,40.3855555556,44.2602777778,2071.1,GPS,,Armenian State Hydrometeorological and Monitoring Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: OZONE;RAD (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Ozone observations; Radiation measurements.,,,,,,GOS General:Operational,	2019-06-14,Gohar GEVORGYAN,40.39,44.26
ANANUN MOUNTAIN PASS,ANANUN CANYON,	1960-01-01,,Operational,Unknown,Land (fixed),0-20000-0-37878|primary,Europe,,Armenia,39.83055,44.99194,2122,GPS,,Armenian State Hydrometeorological and Monitoring Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Snow - Fully humid - Hot summer,Mosaic vegetation (grassland/shrubland/forest) (50-70%) / cropland (20-50%) (Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within rises of high altitude,,GOS General:Operational,	2022-10-26,Gohar GEVORGYAN,39.83,44.99
APARAN,,	1935-01-01,,Operational,Operational,Land (fixed),0-20000-0-37699|primary,Europe,,Armenia,40.59444,44.36388,1889,GPS,UTC+4,Armenian State Hydrometeorological and Monitoring Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Snow - Fully humid - Hot summer,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at lowest relative elevation within mountains of high altitude,,"GOS General:Operational, RBON:Operational",	2022-10-07,Gohar GEVORGYAN,40.59,44.36
APARAN RESERVOIR,APARAN JRAMBAR,	2016-04-28,,Operational,Unknown,Land (fixed),0-20000-0-37770|primary,Europe,,Armenia,40.48444,44.43611,1842,GPS,,Armenian State Hydrometeorological and Monitoring Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Snow - Fully humid - Hot summer,"Closed to open (>15%) (broadleaved or needleleaved, evergreen or deciduous) shrubland (<5m)(Surface cover types (GlobCover2009))",,(unknown) at middle relative elevation within mountains of high altitude,,GOS General:Operational,	2022-10-26,Gohar GEVORGYAN,40.48,44.44
ARAGATS H/M,,	1929-01-01,,Operational,Unknown,Land (fixed),0-20000-0-37781|primary,Europe,,Armenia,40.47222,44.18111,3227,GPS,,Armenian State Hydrometeorological and Monitoring Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);GSN;RBCN (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Snow - Fully humid - Hot summer,Mosaic vegetation (grassland/shrubland/forest) (50-70%) / cropland (20-50%) (Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within rises of high altitude,,"CLIMAT(C) - to be deprecated:Closed, GSN:Operational, RBCN - deprecated:Closed, RBON:Operational",	2019-09-06,Gohar GEVORGYAN,40.47,44.18
ARARAT,,	1949-09-01,,Operational,Unknown,Land (fixed),0-20000-0-37874|primary,Europe,,Armenia,39.83138,44.70833,818,GPS,,Armenian State Hydrometeorological and Monitoring Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Steppe - Cold arid,Rainfed croplands(Surface cover types (GlobCover2009)),,(unknown) at lowest relative elevation within mountains of middle altitude,,GOS General:Operational,	2019-06-06,Gohar GEVORGYAN,39.83,44.71
ARENI,,	1931-10-01,,Operational,Unknown,Land (fixed),0-20000-0-37875|primary,Europe,,Armenia,39.72722,45.18833,1009,GPS,,Armenian State Hydrometeorological and Monitoring Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: RAD (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Radiation measurements.,Snow - Fully humid - Hot summer,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within rises of high altitude,,GOS General:Operational,	2019-06-06,Gohar GEVORGYAN,39.73,45.19
ARMAVIR (37787-0),,	1904-06-01,,Operational,Operational,Land (fixed),0-20000-0-37787|primary,Europe,,Armenia,40.13722,44.0475,861,GPS,,Armenian State Hydrometeorological and Monitoring Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: RAD (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Radiation measurements.,Steppe - Cold arid,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at lowest relative elevation within plains of middle altitude,,"GBON:Operational, GOS General:Operational, RBON:Operational",	2022-10-24,Gohar GEVORGYAN,40.14,44.05
ARTASHAT,,	1929-01-01,,Operational,Operational,Land (fixed),0-20000-0-37871|primary,Europe,,Armenia,39.95861,44.5475,829.3,GPS,,Armenian State Hydrometeorological and Monitoring Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: RAD (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Radiation measurements.,Steppe - Cold arid,Mosaic vegetation (grassland/shrubland/forest) (50-70%) / cropland (20-50%) (Surface cover types (GlobCover2009)),,(unknown) at lowest relative elevation within hills of middle altitude,,"GBON:Operational, GOS General:Operational, RBON:Operational",	2022-10-24,Gohar GEVORGYAN,39.96,44.55
ARTIK,,	1933-12-01,,Operational,Unknown,Land (fixed),0-20000-0-37689|primary,Europe,,Armenia,40.62333,43955,1724,GPS,,Armenian State Hydrometeorological and Monitoring Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Snow - Fully humid - Warm summer,Mosaic vegetation (grassland/shrubland/forest) (50-70%) / cropland (20-50%) (Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within mountains of high altitude,,GOS General:Operational,	2019-06-06,Gohar GEVORGYAN,40.62,43955
ASHOTSK,,	2001-01-01,,Operational,Operational,Land (fixed),0-20000-0-37609|primary,Europe,,Armenia,41.0294444444,43.8763888889,2012,GPS,,Armenian State Hydrometeorological and Monitoring Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, GOS General:Operational, RBON",	2022-10-24,Gohar GEVORGYAN,41.03,43.88
ASHTARAK,,	2001-01-01,,Operational,Operational,Land (fixed),0-20000-0-37785|primary,Europe,,Armenia,40.29444,44.34277,1090,GPS,,Armenian State Hydrometeorological and Monitoring Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: RAD (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Radiation measurements.,Steppe - Cold arid,Rainfed croplands(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within rises of high altitude,,"GBON, GOS General:Operational, RBON:Operational",	2022-10-21,Gohar GEVORGYAN,40.29,44.34
BAGRATASHEN,,	2001-01-01,,Operational,Unknown,Land (fixed),0-20000-0-37626|primary,Europe,,Armenia,41.24527,44.82555,450.7,GPS,,Armenian State Hydrometeorological and Monitoring Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Steppe - Cold arid,"Closed to open (>15%) (broadleaved or needleleaved, evergreen or deciduous) shrubland (<5m)(Surface cover types (GlobCover2009))",,(unknown) at low relative elevation within rises of middle altitude,,GOS General:Operational,	2019-06-10,Gohar GEVORGYAN,41.25,44.83
DILIJAN,,	1914-01-01,,Operational,Unknown,Land (fixed),0-20000-0-37706|primary,Europe,,Armenia,40.74111,44.86555,1256.1,GPS,,Armenian State Hydrometeorological and Monitoring Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: RAD (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Radiation measurements.,Snow - Fully humid - Hot summer,Closed (>40%) broadleaved deciduous forest (>5m)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within mountains of high altitude,,GOS General:Operational,	2019-06-10,Gohar GEVORGYAN,40.74,44.87
FANTAN,,	1934-10-29,,Operational,Unknown,Land (fixed),0-20000-0-37791|primary,Europe,,Armenia,40.39527,44.68277,1799.71,GPS,,Armenian State Hydrometeorological and Monitoring Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Snow - Fully humid - Hot summer,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within rises of high altitude,,GOS General:Operational,	2019-09-16,Gohar GEVORGYAN,40.4,44.68
GAVAR,,	1890-01-01,,Operational,Operational,Land (fixed),0-20000-0-37801|primary,Europe,,Armenia,40.34861,45.1255555556,1960,GPS,,Armenian State Hydrometeorological and Monitoring Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Snow - Fully humid - Hot summer,Mosaic vegetation (grassland/shrubland/forest) (50-70%) / cropland (20-50%) (Surface cover types (GlobCover2009)),,(unknown) at lowest relative elevation within mountains of high altitude,,"GBON:Operational, GOS General:Operational, RBON:Operational",	2022-10-24,Gohar GEVORGYAN,40.35,45.13
GORIS,,	1962-01-01,,Operational,Operational,Land (fixed),0-20000-0-37953|primary,Europe,,Armenia,39.51805,46.33833,1550,GPS,,Armenian State Hydrometeorological and Monitoring Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Snow - Fully humid - Hot summer,Closed (>40%) broadleaved deciduous forest (>5m)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within mountains of high altitude,,"GBON:Operational, GOS General:Operational, RBON:Operational",	2022-10-24,Gohar GEVORGYAN,39.52,46.34
GYUMRI,,	1895-01-01,,Operational,Unknown,Land (fixed),0-20000-0-37686|primary,Europe,,Armenia,40.76277,43.85583,1513,GPS,,Armenian State Hydrometeorological and Monitoring Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: RAD (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Radiation measurements.,Snow - Fully humid - Warm summer,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within plains of high altitude,,GOS General:Operational,	2019-06-10,Gohar GEVORGYAN,40.76,43.86
HANKAVAN,,	1934-01-01,,Operational,Unknown,Land (fixed),0-20000-0-37698|primary,Europe,,Armenia,40.63388,44.48361,1991.58,GPS,,Armenian State Hydrometeorological and Monitoring Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Snow - Fully humid - Hot summer,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within rises of high altitude,,GOS General:Operational,	2019-06-14,Gohar GEVORGYAN,40.63,44.48
HRAZDAN,,	1927-01-01,,Operational,Operational,Land (fixed),0-20000-0-37792|primary,Europe,,Armenia,40.49277,44.76111,1765,GPS,,Armenian State Hydrometeorological and Monitoring Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: RAD (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Radiation measurements.,Snow - Fully humid - Hot summer,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within rises of high altitude,,"GBON:Operational, GOS General:Operational, RBON:Operational",	2022-10-24,Gohar GEVORGYAN,40.49,44.76
IJEVAN,IDJEVAN,	1913-01-06,,Operational,Operational,Land (fixed),0-20000-0-37711|primary,Europe,,Armenia,40.87166,45.14722,732.4,GPS,UTC-4,Armenian State Hydrometeorological and Monitoring Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: RAD (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Radiation measurements.,Snow - Fully humid - Hot summer,Mosaic vegetation (grassland/shrubland/forest) (50-70%) / cropland (20-50%) (Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within rises of high altitude,,"GBON:Operational, GOS General:Operational, RBON:Operational",	2022-10-26,Gohar GEVORGYAN,40.87,45.15
JERMUK,,	1947-07-29,,Operational,Operational,Land (fixed),0-20000-0-37882|primary,Europe,,Armenia,39.83388,45.67111,2064.37,GPS,,Armenian State Hydrometeorological and Monitoring Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Snow - Fully humid - Hot summer,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within rises of high altitude,,"GBON:Operational, GOS General:Operational, RBON:Operational",	2022-10-24,Gohar GEVORGYAN,39.83,45.67
KAJARAN,,	1974-10-11,	2019-07-01,Closed,Unknown,Land (fixed),0-20000-0-37950|primary,Europe,,Armenia,39.15277,46.15916,1842.72,GPS,,Armenian State Hydrometeorological and Monitoring Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Snow - Fully humid - Hot summer,Mosaic vegetation (grassland/shrubland/forest) (50-70%) / cropland (20-50%) (Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within rises of high altitude,,GOS General:Closed,	2022-08-01,Gohar GEVORGYAN,39.15,46.16
KAPAN,,	1933-06-27,	2021-10-01,Closed,Unknown,Land (fixed),0-20000-0-37959|primary,Europe,,Armenia,39.204166,46.46222,704.3,GPS,,Armenian State Hydrometeorological and Monitoring Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: RAD (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Radiation measurements.,Snow - Fully humid - Hot summer,"Closed to open (>15%) (broadleaved or needleleaved, evergreen or deciduous) shrubland (<5m)(Surface cover types (GlobCover2009))",,(unknown) at low relative elevation within mountains of high altitude,,GOS General:Closed,	2022-08-30,Gohar GEVORGYAN,39.2,46.46
MARTUNI,,	1926-06-01,,Operational,Unknown,Land (fixed),0-20000-0-37808|primary,Europe,,Armenia,40.13694,45.29694,1943.3,GPS,,Armenian State Hydrometeorological and Monitoring Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Snow - Fully humid - Hot summer,Mosaic vegetation (grassland/shrubland/forest) (50-70%) / cropland (20-50%) (Surface cover types (GlobCover2009)),,(unknown) at lowest relative elevation within plains of high altitude,,GOS General:Operational,	2019-09-06,Gohar GEVORGYAN,40.14,45.3
MASRIK,,	1927-03-01,,Operational,Operational,Land (fixed),0-20000-0-37815|primary,Europe,,Armenia,40.2075,45.76444,1939.1,GPS,,Armenian State Hydrometeorological and Monitoring Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Snow - Fully humid - Hot summer,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at lowest relative elevation within mountains of high altitude,,"GBON:Operational, GOS General:Operational",	2022-09-20,ARM NMHS,40.21,45.76
MEGHRI,,	1930-04-01,,Operational,Operational,Land (fixed),0-20000-0-37958|primary,Europe,,Armenia,38.89777,46.2425,626.56,GPS,,Armenian State Hydrometeorological and Monitoring Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: RAD (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Radiation measurements.,Snow - Dry and hot summer,Mosaic vegetation (grassland/shrubland/forest) (50-70%) / cropland (20-50%) (Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within rises of high altitude,,"GBON:Operational, GOS General:Operational, RBON:Operational",	2022-10-24,Gohar GEVORGYAN,38.9,46.24
MERDZAVAN,,,,Operational,Unknown,Land (fixed),0-20000-0-37783|primary,Europe,,Armenia,40.1855555556,44.4041666667,,,,Armenian State Hydrometeorological and Monitoring Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AGRIMET;RAD (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Radiation measurements.,,,,,,GOS General:Operational,	2016-04-28,,40.19,44.4
ODZUN,,	1933-01-14,,Operational,Unknown,Land (fixed),0-20000-0-37627|primary,Europe,,Armenia,41.06027,44.61027,1105.34,GPS,,Armenian State Hydrometeorological and Monitoring Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Snow - Fully humid - Hot summer,Rainfed croplands(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within mountains of high altitude,,GOS General:Operational,	2019-09-16,Gohar GEVORGYAN,41.06,44.61
PUSHKINI CANYON,,	1962-12-01,,Operational,Unknown,Land (fixed),0-20000-0-37694|primary,Europe,,Armenia,40.90916,44.43472,2065.76,GPS,,Armenian State Hydrometeorological and Monitoring Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Snow - Fully humid - Hot summer,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within rises of high altitude,,GOS General:Operational,	2019-09-16,Gohar GEVORGYAN,40.91,44.43
SEMYONOVKA,,	1894-09-01,,Operational,Unknown,Land (fixed),0-20000-0-37708|primary,Europe,,Armenia,40.65972,44.89805,2104.2,GPS,,Armenian State Hydrometeorological and Monitoring Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Snow - Fully humid - Hot summer,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within mountains of high altitude,,GOS General:Operational,	2019-06-10,Gohar GEVORGYAN,40.66,44.9
SEVAN LAKY,SEVAN OZERO,	2001-01-01,,Operational,Operational,Land (fixed),0-20000-0-37717|primary,Europe,,Armenia,40.56527,45.00833,1917.23,GPS,,Armenian State Hydrometeorological and Monitoring Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);CLIMAT(C);RAD;RBCN;RBSN(S) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Radiation measurements.,Snow - Fully humid - Hot summer,"Closed to open (>15%) (broadleaved or needleleaved, evergreen or deciduous) shrubland (<5m)(Surface cover types (GlobCover2009))",,(unknown) at middle relative elevation within rises of high altitude,,"CLIMAT(C) - to be deprecated:Closed, GBON:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2022-10-26,Gohar GEVORGYAN,40.57,45.01
SHORZHA,SHORJA,	1913-01-01,,Operational,Unknown,Land (fixed),0-20000-0-37802|primary,Europe,,Armenia,40.50056,45.27166,1917.23,GPS,,Armenian State Hydrometeorological and Monitoring Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Snow - Fully humid - Hot summer,Mosaic vegetation (grassland/shrubland/forest) (50-70%) / cropland (20-50%) (Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within valleys of high altitude,,GOS General:Operational,	2022-10-26,Gohar GEVORGYAN,40.5,45.27
SISIAN,,	1931-01-10,,Operational,Operational,Land (fixed),0-20000-0-37897|primary,Europe,,Armenia,39.52027,46.02972,1580.09,GPS,,Armenian State Hydrometeorological and Monitoring Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Snow - Fully humid - Hot summer,Mosaic vegetation (grassland/shrubland/forest) (50-70%) / cropland (20-50%) (Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within mountains of high altitude,,"GBON:Operational, GOS General:Operational, RBON:Operational",	2022-10-24,Gohar GEVORGYAN,39.52,46.03
STEPANAVAN,,	1895-01-01,,Operational,Unknown,Land (fixed),0-20000-0-37693|primary,Europe,,Armenia,41.00194,44.41277,1397.23,GPS,,Armenian State Hydrometeorological and Monitoring Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Snow - Fully humid - Hot summer,Mosaic vegetation (grassland/shrubland/forest) (50-70%) / cropland (20-50%) (Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within mountains of high altitude,,GOS General:Operational,	2019-09-16,Gohar GEVORGYAN,41,44.41
TALIN,,	1930-10-01,,Operational,Operational,Land (fixed),0-20000-0-37772|primary,Europe,,Armenia,40.38638,43.89305,1636.85,GPS,,Armenian State Hydrometeorological and Monitoring Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Snow - Fully humid - Warm summer,Mosaic vegetation (grassland/shrubland/forest) (50-70%) / cropland (20-50%) (Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within rises of high altitude,,"GBON:Operational, GOS General:Operational, RBON:Operational",	2022-10-24,Gohar GEVORGYAN,40.39,43.89
