,station,lat,lon,weatherfont,weathersymbol,weathercolour,wwletter
135,LIMW,45.7385,7.36872,,,,1110003600100002000300004000051000600007000080000
136,LIMZ,44.547,7.62322,,,,1110003600100002000300004000051000600007000080000
137,LICB,36.9946,14.60718,,,,1110003600100002000300004000051000600007000080000
138,LIPO,45.4289,10.3306,36.0,^,green,1110003600100002000300004000051000600007000080000
139,EFET,68.3626,23.4243,,,,1110003600100002000300004000051000600007000080000
140,EFHA,61.856,24.7866,,,,1110003600100002000300004000051000600007000080000
141,EFJO,62.6629,29.6075,,,,1110003600100002000300004000051000600007000080000
142,EFKS,65.9876,29.2394,36.0,h,magenta,1110003600100002000300004000051000600007000080000
143,EFKT,67.701,24.8468,36.0,h,magenta,1110003600100002000300004000051000600007000080000
144,EFLP,61.0446,28.1444,36.0,v,magenta,1110003600100002000300004000051000600007000080000
145,EFMI,61.6866,27.2018,36.0,v,magenta,1110003600100002000300004000051000600007000080000
146,EFSA,61.9431,28.9451,,,,1110003600100002000300004000051000600007000080000
147,EFSI,62.6921,22.8323,36.0,v,magenta,1110003600100002000300004000051000600007000080000
148,EFUT,60.8964,26.9384,,,,1110003600100002000300004000051000600007000080000
149,LMML,35.8575,14.4775,,,,1110003600100002000300004000051000600007000080000
150,EEKA,58.9908,22.8307,,,,1110003600100002000300004000051000600007000080000
151,EEKE,58.2299,22.5095,,,,1110003600100002000300004000051000600007000080000
152,EEPU,58.419,24.4728,,,,1110003600100002000300004000051000600007000080000
153,EDJA,47.9888,10.2395,,,,1110003600100002000300004000051000600007000080000
154,EDTY,49.11833,9.78389,,,,1110003600100002000300004000051000600007000080000
155,EFJY,62.3995,25.6783,36.0,e,magenta,1110003600100002000300004000051000600007000080000
156,EFKE,65.7787,24.5821,36.0,h,magenta,1110003600100002000300004000051000600007000080000
157,EFKK,63.7212,23.1431,36.0,v,magenta,1110003600100002000300004000051000600007000080000
158,EFPO,61.4617,21.8,36.0,h,magenta,1110003600100002000300004000051000600007000080000
159,LGAV,37.9364,23.9445,,,,1110003600100002000300004000051000600007000080000
160,LGKR,39.6019,19.9117,,,,1110003600100002000300004000051000600007000080000
161,LGRP,36.4054,28.0862,,,,1110003600100002000300004000051000600007000080000
162,ESDF,56.2667,15.265,,,,1110003600100002000300004000051000600007000080000
163,ESGG,57.6628,12.2798,,,,1110003600100002000300004000051000600007000080000
164,ESGJ,57.7576,14.0687,36.0,r,green,1110003600100002000300004000051000600007000080000
165,ESGP,57.7747,11.8704,,,,1110003600100002000300004000051000600007000080000
166,ESKN,58.7886,16.9122,,,,1110003600100002000300004000051000600007000080000
167,ESMK,55.9217,14.0855,,,,1110003600100002000300004000051000600007000080000
168,ESMS,55.53631,13.3762,36.0,T,green,1110003600100002000300004000051000600007000080000
169,ESMX,56.9291,14.728,,,,1110003600100002000300004000051000600007000080000
170,ESNN,62.5281,17.4439,,,,1110003600100002000300004000051000600007000080000
171,ESNO,63.4083,18.99,36.0,h,magenta,1110003600100002000300004000051000600007000080000
172,ESNQ,67.822,20.3368,36.0,h,magenta,1110003600100002000300004000051000600007000080000
173,ESNS,64.6248,21.0769,36.0,h,magenta,1110003600100002000300004000051000600007000080000
174,ESNU,63.7918,20.2828,36.0,h,magenta,1110003600100002000300004000051000600007000080000
175,ESOK,59.4447,13.3374,,,,1110003600100002000300004000051000600007000080000
176,ESOW,59.5894,16.6336,,,,1110003600100002000300004000051000600007000080000
177,ESSB,59.3544,17.9417,,,,1110003600100002000300004000051000600007000080000
178,ESSD,60.422,15.5152,,,,1110003600100002000300004000051000600007000080000
179,ESSP,58.5863,16.2506,,,,1110003600100002000300004000051000600007000080000
180,ESSV,57.6628,18.3462,,,,1110003600100002000300004000051000600007000080000
181,LSGC,47.0839,6.79284,,,,1110003600100002000300004000051000600007000080000
182,LSGS,46.2196,7.32676,,,,1110003600100002000300004000051000600007000080000
183,LSZG,47.1816,7.41719,,,,1110003600100002000300004000051000600007000080000
184,LSZL,46.1608,8.87861,,,,1110003600100002000300004000051000600007000080000
185,LSZR,47.485,9.56077,,,,1110003600100002000300004000051000600007000080000
186,LSZS,46.5341,9.88411,36.0,h,magenta,1110003600100002000300004000051000600007000080000
187,EGBB,52.4539,-1.74803,,,,1110003600100002000300004000051000600007000080000
188,EGGD,51.3827,-2.71909,,,,1110003600100002000300004000051000600007000080000
189,EGJB,49.435,-2.60197,,,,1110003600100002000300004000051000600007000080000
190,EGKA,50.8356,-0.29722,,,,1110003600100002000300004000051000600007000080000
191,EGKB,51.3308,0.0325,,,,1110003600100002000300004000051000600007000080000
192,EGKK,51.1481,-0.19028,36.0,q,green,1110003600100002000300004000051000600007000080000
193,EGMC,51.5714,0.69556,36.0,1,,1110003600100002000300004000051000600007000080000
194,EGMD,50.9561,0.93917,,,,1110003600100002000300004000051000600007000080000
195,EGNH,53.7717,-3.02861,,,,1110003600100002000300004000051000600007000080000
196,EGNJ,53.5744,-0.35083,,,,1110003600100002000300004000051000600007000080000
197,EGNM,53.8659,-1.66057,,,,1110003600100002000300004000051000600007000080000
198,EGNV,54.5092,-1.42941,,,,1110003600100002000300004000051000600007000080000
199,EGTE,50.7344,-3.41389,,,,1110003600100002000300004000051000600007000080000
200,EGPB,59.8789,-1.29556,,,,1110003600100002000300004000051000600007000080000
201,EGGP,53.3336,-2.84972,,,,1110003600100002000300004000051000600007000080000
202,EGJA,49.7061,-2.21472,,,,1110003600100002000300004000051000600007000080000
203,EGLC,51.5053,0.05528,,,,1110003600100002000300004000051000600007000080000
204,EGNT,55.0375,-1.69167,,,,1110003600100002000300004000051000600007000080000
205,EGPF,55.8719,-4.43306,,,,1110003600100002000300004000051000600007000080000
206,EGSS,51.885,0.235,,,,1110003600100002000300004000051000600007000080000
207,EGTC,52.0722,-0.61667,36.0,1,,1110003600100002000300004000051000600007000080000
208,EDGS,50.7077,8.08297,,,,1110003600100002000300004000051000600007000080000
209,EDLV,51.6024,6.14217,,,,1110003600100002000300004000051000600007000080000
210,EGNR,53.1781,-2.97778,,,,1110003600100002000300004000051000600007000080000
211,EGPI,55.6819,-6.25667,,,,1110003600100002000300004000051000600007000080000
212,ESGT,58.3181,12.345,,,,1110003600100002000300004000051000600007000080000
213,ESMQ,56.6855,16.2876,,,,1110003600100002000300004000051000600007000080000
214,ESMT,56.6911,12.8202,,,,1110003600100002000300004000051000600007000080000
215,ESNG,67.1324,20.8146,36.0,h,magenta,1110003600100002000300004000051000600007000080000
216,ESNK,63.0486,17.7689,,,,1110003600100002000300004000051000600007000080000
217,ESNL,64.5483,18.7162,36.0,h,magenta,1110003600100002000300004000051000600007000080000
218,ESNX,65.5903,19.2819,36.0,l,magenta,1110003600100002000300004000051000600007000080000
219,ESOE,59.2237,15.038,,,,1110003600100002000300004000051000600007000080000
220,ESSL,58.4062,15.6805,,,,1110003600100002000300004000051000600007000080000
221,ESTA,56.2961,12.8471,,,,1110003600100002000300004000051000600007000080000
222,ESTL,56.0828,13.2125,,,,1110003600100002000300004000051000600007000080000
223,ESUT,65.8061,15.0828,,,,1110003600100002000300004000051000600007000080000
224,LGPA,37.0103,25.1281,,,,1110003600100002000300004000051000600007000080000
225,LOXZ,47.2028,14.7442,36.0,^,green,1110003600100002000300004000051000600007000080000
226,EGAA,54.6575,-6.21583,,,,1110003600100002000300004000051000600007000080000
227,EGAC,54.6181,-5.8725,,,,1110003600100002000300004000051000600007000080000
228,EGAE,55.0428,-7.16111,,,,1110003600100002000300004000051000600007000080000
229,EGEC,55.4372,-5.68639,,,,1110003600100002000300004000051000600007000080000
230,EGGW,51.8747,-0.36833,,,,1110003600100002000300004000051000600007000080000
231,EGHE,49.9133,-6.29167,,,,1110003600100002000300004000051000600007000080000
232,EGHI,50.9503,-1.3568,,,,1110003600100002000300004000051000600007000080000
233,EGLF,51.2758,-0.77633,,,,1110003600100002000300004000051000600007000080000
234,EGLL,51.4706,-0.46194,,,,1110003600100002000300004000051000600007000080000
235,EGNS,54.0833,-4.62389,,,,1110003600100002000300004000051000600007000080000
236,EGNX,52.8311,-1.32806,,,,1110003600100002000300004000051000600007000080000
