icao,iata,name,city,subd,country,elevation,lat,lon,tz,lid
EDDK,CGN,Cologne Bonn Airport,Cologne,North-Rhine-Westphalia,DE,302,50.8658981323,7.1427397728,Europe/Berlin,
EDDL,DUS,Dusseldorf International Airport,Dusseldorf,North-Rhine-Westphalia,DE,147,51.2895011902,6.7667798996,Europe/Berlin,
EDDM,MUC,Munich International Airport,Munich,Bavaria,DE,1487,48.3538017273,11.7861003876,Europe/Berlin,
EDDN,NUE,Nuremberg Airport,Nuremberg,Bavaria,DE,1046,49.4986991882,11.0669002533,Europe/Berlin,
EDDP,LEJ,Leipzig Halle Airport,Leipzig,Saxony,DE,465,51.4323997498,12.2416000366,Europe/Berlin,
EDDR,SCN,Saarbrucken Airport,Saarbrucken,Saarland,DE,1058,49.2145996094,7.1095099449,Europe/Berlin,
EDDS,STR,Stuttgart Airport,Stuttgart,Baden-Wuerttemberg,DE,1276,48.6898994446,9.2219600677,Europe/Berlin,
EDDT,TXL,Berlin-Tegel International Airport,Berlin,Berlin,DE,122,52.5597000122,13.2876996994,Europe/Berlin,
EDDV,HAJ,Hannover Airport,Hannover,Lower-Saxony,DE,183,52.461101532,9.6850795746,Europe/Berlin,
EDDW,BRE,Bremen Airport,Bremen,Bremen,DE,14,53.0475006104,8.7866697311,Europe/Berlin,
EDEB,,Bad Langensalza Airport,Bad Langensalza,Thuringia,DE,650,51.1291656494,10.6222219467,Europe/Berlin,
EDEF,,Babenhausen Airport,Babenhausen,Hesse,DE,928,49.9524993896,8.9680557251,Europe/Berlin,
EDEG,,Gotha-Ost Airport,Gotha,Thuringia,DE,991,50.9700012207,10.7277784348,Europe/Berlin,
EDEH,,Herrenteich Airport,Hockenheim,Baden-Wuerttemberg,DE,308,49.3450012207,8.48777771,Europe/Berlin,
EDEL,,Langenlonsheim Airport,Langenlonsheim,Rheinland-Pfalz,DE,295,49.9083328247,7.9077777863,Europe/Berlin,
EDEM,,Mosenberg Airport,Homburg,Hesse,DE,1296,51.0627784729,9.4222221375,Europe/Berlin,
EDEP,,Heppenheim Airport,Heppenheim,Hesse,DE,361,49.6219444275,8.6244440079,Europe/Berlin,
EDEQ,,Muhlhausen Airport,Muhlhausen,Thuringia,DE,814,51.213054657,10.5486106873,Europe/Berlin,
EDER,,Wasserkuppe Airport,Gersfeld,Hesse,DE,2956,50.4988899231,9.9538888931,Europe/Berlin,
EDEW,,Walldurn Airport,Walldurn,Baden-Wuerttemberg,DE,1312,49.5816688538,9.4022216797,Europe/Berlin,
EDFA,,Anspach/Taunus Airport,Anspach,Hesse,DE,1102,50.2883338928,8.5338888168,Europe/Berlin,
EDFB,,Reichelsheim Airport,Reichelsheim,Hesse,DE,397,50.3358345032,8.8780555725,Europe/Berlin,
EDFC,,Aschaffenburg Airport,Aschaffenburg,Bavaria,DE,410,49.9388885498,9.0638885498,Europe/Berlin,
EDFD,,Bad Neustadt/Saale-Grasberg Airport,Bad Neustadt a.d.Saale,Bavaria,DE,997,50.3061103821,10.2266674042,Europe/Berlin,
EDFE,QEF,Frankfurt-Egelsbach Airport,Egelsbach,Hesse,DE,384,49.9599990845,8.6458330154,Europe/Berlin,
EDFG,,Gelnhausen Airport,Gelnhausen,Hesse,DE,446,50.1972236633,9.1700000763,Europe/Berlin,
EDFH,HHN,Frankfurt-Hahn Airport,Hahn,Rheinland-Pfalz,DE,1649,49.9486999512,7.2638897896,Europe/Berlin,
EDFI,,Hirzenhain Airport,Hirzenhain,Hesse,DE,1706,50.787776947,8.3927783966,Europe/Berlin,
EDFJ,,Lager Hammelburg Airport,Hammelburg,Bavaria,DE,1132,50.0986099243,9.8836107254,Europe/Berlin,
EDFK,,Bad Kissingen Airport,Bad Kissingen,Bavaria,DE,653,50.2105560303,10.0688886642,Europe/Berlin,
EDFL,,Giesen-Lutzellinden Airport,Giesen,Hesse,DE,755,50.543888092,8.5902776718,Europe/Berlin,
EDFM,MHG,Mannheim-City Airport,Mannheim,Baden-Wuerttemberg,DE,308,49.4730567932,8.514166832,Europe/Berlin,
EDFN,,Marburg-Schonstadt Airport,Marburg,Hesse,DE,833,50.8744430542,8.8149995804,Europe/Berlin,
EDFO,,Michelstadt/Odenwald Airport,Michelstadt,Hesse,DE,1142,49.6786117554,8.9719438553,Europe/Berlin,
EDFP,,Ober-Morlen Airport,Ober-Morlen,Hesse,DE,814,50.3619422913,8.7111110687,Europe/Berlin,
EDFQ,,Allendorf/Eder Airport,Allendorf,Hesse,DE,1158,51.0349998474,8.6808328629,Europe/Berlin,
EDFR,,Rothenburg o. d. T. Airport,Rothenburg ob der Tauber,Bavaria,DE,1309,49.3883323669,10.2180557251,Europe/Berlin,
